trade_date,equity,cash,holding_value
2022-02-22,869063.6816790758,477233.94543287216,391829.73624620365
2022-02-23,865811.9826230907,477233.94543287216,388578.0371902186
2022-02-24,860284.0942279161,477233.94543287216,383050.1487950439
2022-02-25,858333.074794325,477233.94543287216,381099.1293614528
2022-02-28,858333.074794325,477233.94543287216,381099.1293614528
2022-03-01,861909.9437559086,477233.94543287216,384675.9983230365
2022-03-02,860284.0942279161,477233.94543287216,383050.1487950439
2022-03-03,862885.4534727042,477233.94543287216,385651.50803983194
2022-03-04,858983.4146055221,477233.94543287216,381749.46917264984
2022-03-07,851504.5067767564,477233.94543287216,374270.56134388415
2022-03-08,843700.4290423921,477233.94543287216,366466.4836095199
2022-03-09,838172.5406472175,477233.94543287216,360938.5952143453
2022-03-10,842074.5795143996,477233.94543287216,364840.6340815274
2022-03-11,843375.2591367936,477233.94543287216,366141.3137039214
2022-03-14,833838.3184585043,833838.3184585043,0.0
2022-03-15,833838.3184585043,833838.3184585043,0.0
2022-03-16,833838.3184585043,833838.3184585043,0.0
2022-03-17,833838.3184585043,833838.3184585043,0.0
2022-03-18,833838.3184585043,833838.3184585043,0.0
2022-03-21,833838.3184585043,833838.3184585043,0.0
2022-03-22,833838.3184585043,833838.3184585043,0.0
2022-03-23,833838.3184585043,833838.3184585043,0.0
2022-03-24,833838.3184585043,833838.3184585043,0.0
2022-03-25,833838.3184585043,833838.3184585043,0.0
2022-03-28,833725.7840559643,458611.1089226292,375114.67513333505
2022-03-29,836016.9493604773,458611.1089226292,377405.84043784806
2022-03-30,837035.245051372,458611.1089226292,378424.1361287428
2022-03-31,841999.4365444838,458611.1089226292,383388.3276218545
2022-04-01,846199.9062694244,458611.1089226292,387588.7973467951
2022-04-06,851927.819530707,458611.1089226292,393316.71060807776
2022-04-07,846072.6193080625,458611.1089226292,387461.51038543327
2022-04-08,850527.6629557267,458611.1089226292,391916.5540330976
2022-04-11,843017.7322353784,458611.1089226292,384406.62331274914
2022-04-12,841744.86262176,458611.1089226292,383133.7536991308
2022-04-13,844672.4627330822,458611.1089226292,386061.35381045303
2022-04-14,851800.5325693451,458611.1089226292,393189.42364671594
2022-04-15,847600.0628444045,458611.1089226292,388988.95392177533
2022-04-18,839453.6973172469,458611.1089226292,380842.5883946177
2022-04-19,845054.3236171678,458611.1089226292,386443.21469453856
2022-04-20,833980.3579786879,458611.1089226292,375369.2490560587
2022-04-21,827106.8620651488,458611.1089226292,368495.7531425195
2022-04-22,830925.4709060038,458611.1089226292,372314.3619833746
2022-04-25,815141.887697136,458611.1089226292,356530.77877450676
2022-04-26,810177.6962040244,458611.1089226292,351566.5872813951
2022-04-27,814760.0268130505,458611.1089226292,356148.91789042123
2022-04-28,820615.227035695,458611.1089226292,362004.1181130658
2022-04-29,824942.9837219975,458611.1089226292,366331.87479936826
2022-05-05,823542.8271470172,458611.1089226292,364931.718224388
2022-05-06,813996.3050448794,458611.1089226292,355385.19612225017
2022-05-09,812871.6992838553,812871.6992838553,0.0
2022-05-10,812871.6992838553,812871.6992838553,0.0
2022-05-11,812871.6992838553,812871.6992838553,0.0
2022-05-12,812871.6992838553,812871.6992838553,0.0
2022-05-13,812871.6992838553,812871.6992838553,0.0
2022-05-16,812871.6992838553,812871.6992838553,0.0
2022-05-17,812871.6992838553,812871.6992838553,0.0
2022-05-18,812871.6992838553,812871.6992838553,0.0
2022-05-19,812871.6992838553,812871.6992838553,0.0
2022-05-20,812871.6992838553,812871.6992838553,0.0
2022-05-23,812871.6992838553,812871.6992838553,0.0
2022-05-24,812871.6992838553,812871.6992838553,0.0
2022-05-25,812871.6992838553,812871.6992838553,0.0
2022-05-26,812871.6992838553,812871.6992838553,0.0
2022-05-27,812871.6992838553,812871.6992838553,0.0
2022-05-30,812871.6992838553,812871.6992838553,0.0
2022-05-31,812871.6992838553,812871.6992838553,0.0
2022-06-01,812871.6992838553,812871.6992838553,0.0
2022-06-02,812871.6992838553,812871.6992838553,0.0
2022-06-06,812688.8580203562,203217.97968980344,609470.8783305527
2022-06-07,818838.311550471,203217.97968980344,615620.3318606676
2022-06-08,829383.3606184886,203217.97968980344,626165.3809286852
2022-06-09,823855.7572421725,203217.97968980344,620637.777552369
2022-06-10,830090.7087363892,203217.97968980344,626872.7290465857
2022-06-13,825704.8577473382,203217.97968980344,622486.8780575348
2022-06-14,831844.357687124,203217.97968980344,628626.3779973206
2022-06-15,834486.5133157691,203217.97968980344,631268.5336259657
2022-06-16,839514.1216392766,203217.97968980344,636296.1419494732
2022-06-17,846071.575892197,203217.97968980344,642853.5962023935
2022-06-20,850795.3251779486,140838.66486366364,709956.660314285
2022-06-21,847932.9257386975,140838.66486366364,707094.2608750339
2022-06-22,840713.8607447905,140838.66486366364,699875.1958811269
2022-06-23,853397.5161028799,140838.66486366364,712558.8512392163
2022-06-24,860528.4540432463,140838.66486366364,719689.7891795827
2022-06-27,879534.5362983559,140838.66486366364,738695.8714346923
2022-06-28,885554.4614888614,140838.66486366364,744715.7966251977
2022-06-29,867390.7006271714,140838.66486366364,726552.0357635078
2022-06-30,885341.4265200839,140838.66486366364,744502.7616564203
2022-07-01,882667.6339835153,140838.66486366364,741828.9691198517
2022-07-04,892156.2903812428,0.028100227296818048,892156.2622810155
2022-07-05,901058.8000849991,0.028100227296818048,901058.7719847718
2022-07-06,882442.7650845996,0.028100227296818048,882442.7369843724
2022-07-07,896315.731333531,0.028100227296818048,896315.7032333037
2022-07-08,883316.8569548347,0.028100227296818048,883316.8288546074
2022-07-11,857709.7534559376,0.028100227296818048,857709.7253557103
2022-07-12,849547.749284459,0.028100227296818048,849547.7211842317
2022-07-13,857433.2604620454,0.028100227296818048,857433.2323618182
2022-07-14,867164.6816041316,0.028100227296818048,867164.6535039044
2022-07-15,857764.3375728261,0.028100227296818048,857764.3094725987
2022-07-18,870994.4413081042,0.043115749664139,870994.3981923546
2022-07-19,866940.5305161832,0.043115749664139,866940.4874004335
2022-07-20,868595.6167344793,0.043115749664139,868595.5736187296
2022-07-21,857577.525794897,0.043115749664139,857577.4826791473
2022-07-22,856501.6253743651,0.043115749664139,856501.5822586154
2022-07-25,853988.582718987,0.043115749664139,853988.5396032373
2022-07-26,862926.9817432563,0.043115749664139,862926.9386275066
