trade_date,etf_code,etf_name,theme,style,side,price,shares,value,fee
2022-12-12,512800.SH,银行ETF,银行,stable_value,SELL,1.068,118133.56790134248,126166.65051863377,37.84999515559013
2022-12-26,512200.SH,地产ETF,地产,cyclical_value,SELL,0.726,104943.08866222094,76188.6823687724,22.856604710631718
2022-12-26,512000.SH,券商ETF,证券,cyclical_value,BUY,0.825,47814.33853289518,39446.82928963852,11.834048786891554
2022-12-26,512010.SH,医药ETF,医药,growth,SELL,0.463,243746.65845911478,112854.70286657015,33.85641085997104
2022-12-26,512800.SH,银行ETF,银行,stable_value,BUY,1.048,112446.08589221151,117843.49801503768,35.3530494045113
2023-01-09,512000.SH,券商ETF,证券,cyclical_value,BUY,0.862,95201.47222698489,82063.66905966097,24.619100717898288
2023-01-09,512010.SH,医药ETF,医药,growth,BUY,0.495,152862.57300825627,75666.97363908685,22.700092091726052
2023-01-09,512800.SH,银行ETF,银行,stable_value,SELL,1.102,266006.0613596818,293138.6796183693,87.94160388551079
2023-01-30,512010.SH,医药ETF,医药,growth,BUY,0.527,555906.6975391026,292962.8296031071,87.88884888093213
2023-03-13,512010.SH,医药ETF,医药,growth,SELL,0.477,793993.173116917,378734.7435767694,113.62042307303082
2023-03-13,512800.SH,银行ETF,银行,stable_value,SELL,1.053,261079.7905462092,274917.01944515825,82.47510583354747
2023-03-13,512000.SH,券商ETF,证券,cyclical_value,SELL,0.863,143015.81075988006,123422.64468577648,37.02679340573294
2023-03-13,515210.SH,钢铁ETF,钢铁,cyclical_value,BUY,1.397,55607.824749609616,77684.13117520463,23.305239352561387
2023-03-13,159819.SZ,人工智能ETF,人工智能,growth,BUY,0.828,234553.53615701888,194210.32793801161,58.26309838140348
2023-03-13,510880.SH,红利ETF,红利,stable_value,BUY,2.91,146825.6774789091,427262.72146362555,128.17881643908765
2023-03-27,515210.SH,钢铁ETF,钢铁,cyclical_value,SELL,1.319,55607.824749609616,73346.72084473509,22.004016253420524
2023-03-27,159819.SZ,人工智能ETF,人工智能,growth,BUY,0.936,161061.81744355624,150753.86112716864,45.22615833815059
2023-03-27,510880.SH,红利ETF,红利,stable_value,SELL,2.873,50317.60746855611,144562.4862571617,43.36874587714851
2023-04-10,159819.SZ,人工智能ETF,人工智能,growth,SELL,0.964,395615.3536005751,381373.20087095443,114.41196026128632
2023-04-10,512480.SH,半导体ETF,半导体,growth,BUY,1.062,379657.39986911044,403196.1586609953,120.95884759829858
2023-04-24,512480.SH,半导体ETF,半导体,growth,SELL,0.993,181336.60287106055,180067.24665096312,54.02017399528893
2023-04-24,510880.SH,红利ETF,红利,stable_value,BUY,2.987,48523.104586078065,144938.51339861518,43.48155401958455
2023-05-08,512480.SH,半导体ETF,半导体,growth,SELL,0.924,198320.7969980499,183248.41642619812,54.974524927859434
2023-05-08,512000.SH,券商ETF,证券,cyclical_value,BUY,0.932,130638.9194225261,121755.47290179433,36.5266418705383
2023-05-08,510880.SH,红利ETF,红利,stable_value,SELL,3.249,57563.84377313972,187024.92841893097,56.107478525679284
2023-05-22,512000.SH,券商ETF,证券,cyclical_value,SELL,0.887,130638.9194225261,115876.72152778065,34.76301645833419
2023-05-22,510880.SH,红利ETF,红利,stable_value,BUY,3.058,28660.874227540684,87644.9533878194,26.29348601634582
2023-07-17,510880.SH,红利ETF,红利,stable_value,BUY,2.975,67266.76626848728,200118.62964874966,60.035588894624894
2023-07-31,515210.SH,钢铁ETF,钢铁,cyclical_value,BUY,1.358,59148.606840052074,80323.80808879073,24.097142426637216
2023-07-31,510880.SH,红利ETF,红利,stable_value,SELL,3.106,41117.59896133082,127711.26237389352,38.31337871216805
2023-08-14,515210.SH,钢铁ETF,钢铁,cyclical_value,SELL,1.313,29197.07258412843,38335.756302960624,11.500726890888187
2023-08-14,510880.SH,红利ETF,红利,stable_value,BUY,3.006,40867.0846266999,122846.45638785989,36.85393691635796
2023-08-28,515210.SH,钢铁ETF,钢铁,cyclical_value,SELL,1.286,29951.534255923645,38517.67305311781,11.555301915935342
2023-08-28,512000.SH,券商ETF,证券,cyclical_value,BUY,0.981,40508.2623646699,39738.60537974117,11.921581613922351
2023-10-16,512000.SH,券商ETF,证券,cyclical_value,SELL,0.89,40508.2623646699,36052.35350455621,10.815706051366861
2023-10-16,510880.SH,红利ETF,红利,stable_value,SELL,3.075,66861.89860736155,205600.33821763677,61.680101465291024
2023-10-30,510880.SH,红利ETF,红利,stable_value,SELL,2.974,116282.5583773268,345824.3286141699,103.74729858425096
2023-11-13,515220.SH,煤炭ETF,煤炭,cyclical_value,BUY,2.257,17333.67075171982,39122.09488663163,11.736628465989488
2023-11-13,512010.SH,医药ETF,医药,growth,BUY,0.435,89935.8503140957,39122.09488663163,11.736628465989488
2023-11-27,515220.SH,煤炭ETF,煤炭,cyclical_value,SELL,2.345,17333.67075171982,40647.45791278298,12.194237373834893
2023-11-27,512010.SH,医药ETF,医药,growth,SELL,0.43,89935.8503140957,38672.41563506115,11.601724690518344
2024-01-08,510880.SH,红利ETF,红利,stable_value,BUY,3.015,116935.82145729111,352561.5016937327,105.7684505081198
2024-01-22,510880.SH,红利ETF,红利,stable_value,SELL,2.881,116935.82145729111,336892.10161845566,101.0676304855367
2024-01-22,512800.SH,银行ETF,银行,stable_value,BUY,1.065,324380.0990656154,345464.8055048804,103.63944165146411
2024-02-26,512800.SH,银行ETF,银行,stable_value,BUY,1.159,157670.84114649202,182740.50488878426,54.82215146663527
2024-03-11,512400.SH,有色金属ETF,有色,cyclical_value,BUY,0.998,120290.4153068854,120049.83447627163,36.014950342881484
2024-03-11,159819.SZ,人工智能ETF,人工智能,growth,BUY,0.774,154190.49606130944,119343.4439514535,35.80303318543605
2024-03-11,512800.SH,银行ETF,银行,stable_value,SELL,1.164,241328.99816159377,280906.9538600951,84.27208615802853
2024-03-25,159819.SZ,人工智能ETF,人工智能,growth,BUY,0.765,366978.3604056403,280738.44571031485,84.22153371309444
2024-04-22,159819.SZ,人工智能ETF,人工智能,growth,SELL,0.693,521168.8564669498,361170.0175315962,108.35100525947884
2024-04-22,512660.SH,军工ETF,军工,growth,BUY,0.89,405565.58796948195,360953.3732928389,108.28601198785167
2024-04-22,512800.SH,银行ETF,银行,stable_value,SELL,1.204,13502.566452335037,16257.090008611383,4.877127002583415
2024-05-06,512660.SH,军工ETF,军工,growth,BUY,0.899,18072.713797049964,16247.36970354792,4.874210911064376
2024-06-17,512400.SH,有色金属ETF,有色,cyclical_value,SELL,1.003,120290.4153068854,120651.28655280605,36.195385965841815
2024-07-01,512660.SH,军工ETF,军工,growth,SELL,0.879,423638.3017665319,372378.06725278153,111.71342017583444
2024-07-01,159995.SZ,芯片ETF,芯片,growth,BUY,0.847,46029.35300433558,38986.86199467223,11.696058598401669
2024-07-01,512800.SH,银行ETF,银行,stable_value,BUY,1.263,205007.19712298157,258924.0899663257,77.6772269898977
2024-07-29,512800.SH,银行ETF,银行,stable_value,SELL,1.283,432226.57272116013,554546.6928012484,166.3640078403745
2024-08-12,159995.SZ,芯片ETF,芯片,growth,SELL,0.84,46029.35300433558,38664.65652364188,11.599396957092564
2024-10-08,515790.SH,光伏ETF,光伏,growth,BUY,0.902,436628.67670926487,393839.06639175693,118.15171991752707
2024-10-08,510880.SH,红利ETF,红利,stable_value,BUY,3.404,80989.23221922148,275687.3464742299,82.70620394226896
2024-10-21,515790.SH,光伏ETF,光伏,growth,SELL,0.8,436628.67670926487,349302.9413674119,104.79088241022357
2024-10-21,515210.SH,钢铁ETF,钢铁,cyclical_value,BUY,1.188,92049.06591324118,109354.29030493052,32.80628709147915
2024-10-21,159819.SZ,人工智能ETF,人工智能,growth,BUY,0.899,398098.8773656463,357890.89075171604,107.36726722551481
2024-11-04,159819.SZ,人工智能ETF,人工智能,growth,SELL,0.864,398098.8773656463,343957.43004391843,103.18722901317552
2024-11-04,515210.SH,钢铁ETF,钢铁,cyclical_value,SELL,1.253,63415.003526962144,79458.99941928356,23.837699825785066
2024-11-04,515790.SH,光伏ETF,光伏,growth,BUY,0.885,202642.46681331433,179338.5831297832,53.801574938934955
2024-11-04,510880.SH,红利ETF,红利,stable_value,BUY,3.189,42755.629895544036,136347.70373688993,40.904311121066975
2024-11-18,515210.SH,钢铁ETF,钢铁,cyclical_value,BUY,1.261,27711.95442799882,34944.774533706506,10.483432360111951
2024-11-18,515790.SH,光伏ETF,光伏,growth,BUY,0.833,87072.533108762,72531.42007959874,21.75942602387962
2024-11-18,510880.SH,红利ETF,红利,stable_value,SELL,3.218,46454.666889786335,149491.11805133242,44.84733541539972
2024-12-02,515210.SH,钢铁ETF,钢铁,cyclical_value,SELL,1.29,56346.01681427786,72686.36169041843,21.805908507125526
2024-12-02,512400.SH,有色金属ETF,有色,cyclical_value,BUY,1.041,68687.91437248346,71504.11886175527,21.451235658526578
2024-12-02,515790.SH,光伏ETF,光伏,growth,BUY,0.846,48452.854822606125,40991.11517992478,12.297334553977434
2024-12-16,515790.SH,光伏ETF,光伏,growth,SELL,0.789,338167.8547446825,266814.4373935545,80.04433121806633
2024-12-16,515030.SH,新能源车ETF,新能源车,growth,BUY,1.224,229636.39100557353,281074.942590822,84.32248277724659
2024-12-30,512400.SH,有色金属ETF,有色,cyclical_value,SELL,0.996,68687.91437248346,68413.16271499352,20.523948814498056
2024-12-30,515030.SH,新能源车ETF,新能源车,growth,SELL,1.222,229636.39100557353,280615.66980881087,84.18470094264325
2025-01-13,510880.SH,红利ETF,红利,stable_value,SELL,3.124,77290.19522497916,241454.5698828349,72.43637096485047
2025-02-24,515030.SH,新能源车ETF,新能源车,growth,BUY,1.336,256458.681444476,342628.79840981995,102.78863952294597
2025-03-10,512400.SH,有色金属ETF,有色,cyclical_value,BUY,1.08,95623.30578980963,103273.1702529944,30.98195107589832
2025-03-10,159928.SZ,消费ETF,消费,stable_value,BUY,0.804,297706.0550845805,239355.66828800272,71.80670048640081
2025-03-24,512400.SH,有色金属ETF,有色,cyclical_value,SELL,1.102,95623.30578980963,105376.88298037022,31.613064894111066
2025-03-24,515030.SH,新能源车ETF,新能源车,growth,SELL,1.305,177886.37835561708,232141.72375408027,69.64251712622408
2025-03-24,159928.SZ,消费ETF,消费,stable_value,BUY,0.818,161864.52780664669,132405.18374583698,39.721555123751095
2025-04-07,515030.SH,新能源车ETF,新能源车,growth,SELL,1.125,78572.30308885893,88393.8409749663,26.518152292489887
2025-04-07,159928.SZ,消费ETF,消费,stable_value,BUY,0.8,91254.34482987825,73003.4758639026,21.901042759170778
2025-05-06,159928.SZ,消费ETF,消费,stable_value,BUY,0.819,23048.52241601905,18876.7398587196,5.66302195761588
2025-05-19,159928.SZ,消费ETF,消费,stable_value,SELL,0.818,573873.4501371245,469428.4822121678,140.82854466365032
2025-05-19,510880.SH,红利ETF,红利,stable_value,BUY,3.117,118338.97304292874,368862.5789748089,110.65877369244267
2025-06-03,510880.SH,红利ETF,红利,stable_value,BUY,3.134,31885.835333196424,99930.2079342376,29.979062380271277
2025-06-16,510880.SH,红利ETF,红利,stable_value,SELL,3.131,7109.698318995029,22260.465436773433,6.678139631032029
2025-06-30,512400.SH,有色金属ETF,有色,cyclical_value,BUY,1.139,88885.37909115199,101240.44678482211,30.37213403544663
2025-06-30,515030.SH,新能源车ETF,新能源车,growth,BUY,1.261,97329.40283396345,122732.3769736279,36.81971309208837
2025-06-30,510880.SH,红利ETF,红利,stable_value,SELL,3.152,68147.28050630268,214800.22815586603,64.44006844675981
2025-07-14,515030.SH,新能源车ETF,新能源车,growth,BUY,1.261,170238.99952173434,214671.37839690698,64.4014135190721
2025-07-28,512400.SH,有色金属ETF,有色,cyclical_value,SELL,1.282,88885.37909115199,113951.05599485686,34.18531679845705
2025-07-28,515030.SH,新能源车ETF,新能源车,growth,SELL,1.354,267568.4023556978,362287.6167896149,108.68628503688446
2025-07-28,512000.SH,券商ETF,证券,cyclical_value,BUY,1.185,91192.10459512117,108062.64394521859,32.418793183565576
2025-07-28,512480.SH,半导体ETF,半导体,growth,BUY,1.081,333218.1435251884,360208.81315072865,108.06264394521858
2025-08-11,512000.SH,券商ETF,证券,cyclical_value,SELL,0.581,91192.10459512117,52982.612769765394,15.894783830929617
2025-08-11,512480.SH,半导体ETF,半导体,growth,SELL,1.084,25897.99285058071,28073.424250029493,8.422027275008848
2025-08-25,512480.SH,半导体ETF,半导体,growth,SELL,1.33,307320.15067460766,408735.8003972282,122.62074011916846
2025-08-25,515220.SH,煤炭ETF,煤炭,cyclical_value,BUY,1.109,100441.60446829765,111389.73935534208,33.41692180660262
2025-08-25,515030.SH,新能源车ETF,新能源车,growth,BUY,1.439,258025.80346384546,371299.13118447363,111.38973935534209
2025-09-08,515030.SH,新能源车ETF,新能源车,growth,SELL,1.66,20951.87335619247,34780.1097712795,10.43403293138385
2025-09-08,510880.SH,红利ETF,红利,stable_value,BUY,3.168,11985.61496882604,37970.428221240894,11.391128466372267
2025-09-22,510880.SH,红利ETF,红利,stable_value,SELL,3.087,86953.4445196535,268425.28323217033,80.52758496965109
2025-09-22,159928.SZ,消费ETF,消费,stable_value,BUY,0.849,328055.8058077752,278519.3791308011,83.55581373924034
2025-10-09,515220.SH,煤炭ETF,煤炭,cyclical_value,SELL,1.099,100441.60446829765,110385.32331065912,33.115596993197734
2025-10-09,515030.SH,新能源车ETF,新能源车,growth,SELL,1.949,18924.547110182328,36883.94231774536,11.065182695323607
2025-10-09,159928.SZ,消费ETF,消费,stable_value,BUY,0.844,24568.578780510084,20735.88049075051,6.220764147225153
2025-10-20,515220.SH,煤炭ETF,煤炭,cyclical_value,BUY,1.218,66042.0816643047,80439.25546712312,24.131776640136934
2025-10-20,515030.SH,新能源车ETF,新能源车,growth,SELL,1.751,34338.0877708144,60125.99168669602,18.037797506008804
2025-11-03,515030.SH,新能源车ETF,新能源车,growth,SELL,1.865,183811.29522665628,342808.065597714,102.84241967931419
2025-11-03,515220.SH,煤炭ETF,煤炭,cyclical_value,SELL,1.212,66042.0816643047,80043.0029771373,24.012900893141186
2025-11-03,515210.SH,钢铁ETF,钢铁,cyclical_value,BUY,1.51,81803.87990604328,123523.85865812536,37.05715759743761
2025-11-03,159819.SZ,人工智能ETF,人工智能,growth,BUY,1.493,272065.4619697801,406193.7347208817,121.8581204162645
2025-11-17,159819.SZ,人工智能ETF,人工智能,growth,SELL,1.409,272065.4619697801,383340.23591542017,115.00207077462603
2025-11-17,515210.SH,钢铁ETF,钢铁,cyclical_value,SELL,1.571,56119.57762352846,88163.85644656321,26.44915693396896
2025-11-17,159928.SZ,消费ETF,消费,stable_value,BUY,0.837,177609.56594789817,148659.20669839077,44.597762009517226
2025-12-01,159928.SZ,消费ETF,消费,stable_value,SELL,0.827,530233.9505361834,438503.47709342366,131.5510431280271
2025-12-01,515790.SH,光伏ETF,光伏,growth,BUY,0.959,208286.4229333932,199746.67959312405,59.92400387793721
2025-12-01,510880.SH,红利ETF,红利,stable_value,BUY,3.245,135421.47769025358,439442.6951048729,131.83280853146186
2025-12-15,515210.SH,钢铁ETF,钢铁,cyclical_value,SELL,1.45,25684.302282514822,37242.23830964649,11.172671492893945
2025-12-15,515790.SH,光伏ETF,光伏,growth,SELL,0.955,208286.4229333932,198913.53390139047,59.674060170417135
2025-12-15,510880.SH,红利ETF,红利,stable_value,SELL,3.168,135421.47769025358,429015.2413227234,128.704572396817
2025-12-15,512400.SH,有色金属ETF,有色,cyclical_value,BUY,1.762,66962.36961789466,117987.69526673038,35.39630858001911
2025-12-15,561560.SH,电力ETF,电力,stable_value,BUY,1.25,220243.69783123,275304.6222890375,82.59138668671125
2025-12-29,512400.SH,有色金属ETF,有色,cyclical_value,SELL,1.878,66962.36961789466,125755.33014240615,37.726599042721844
2025-12-29,159819.SZ,人工智能ETF,人工智能,growth,BUY,1.525,258966.9249473463,394924.5605447031,118.47736816341092
2026-01-12,159819.SZ,人工智能ETF,人工智能,growth,SELL,1.704,12091.74079770624,20604.32631929143,6.181297895787429
2026-01-12,561560.SH,电力ETF,电力,stable_value,BUY,1.254,14578.657445419623,18281.636436556208,5.484490930966862
2026-01-26,159819.SZ,人工智能ETF,人工智能,growth,SELL,1.654,246875.18414964006,408331.5545835046,122.49946637505137
2026-02-09,561560.SH,电力ETF,电力,stable_value,SELL,1.253,234822.35527664964,294232.411161642,88.26972334849259
2026-03-02,512480.SH,半导体ETF,半导体,growth,BUY,1.655,250242.00790252327,414150.523078676,124.24515692360279
2026-03-02,510880.SH,红利ETF,红利,stable_value,BUY,3.303,87770.31975630434,289905.3661550732,86.97160984652196
2026-03-16,512480.SH,半导体ETF,半导体,growth,SELL,1.577,250242.00790252327,394631.6464622792,118.38949393868374
2026-03-16,510880.SH,红利ETF,红利,stable_value,BUY,3.335,46067.57766395021,153635.37150927394,46.09061145278218
2026-03-30,510880.SH,红利ETF,红利,stable_value,BUY,3.299,37309.398803198455,123083.70665175171,36.92511199552551
2026-04-13,510880.SH,红利ETF,红利,stable_value,SELL,3.223,35720.43549782153,115126.96360947877,34.538089082843626
2026-04-27,159819.SZ,人工智能ETF,人工智能,growth,BUY,1.756,203290.98395006493,356978.967816314,107.0936903448942
2026-04-27,510880.SH,红利ETF,红利,stable_value,SELL,3.275,49865.58686844136,163309.79699414544,48.992939098243625
