trade_date,etf_code,shares,close,weight
2023-07-05,CASH,0.0,1.0,1.0
2023-07-06,CASH,0.0,1.0,1.0
2023-07-07,CASH,0.0,1.0,1.0
2023-07-10,CASH,0.0,1.0,1.0
2023-07-11,CASH,0.0,1.0,1.0
2023-07-12,CASH,0.0,1.0,1.0
2023-07-13,CASH,0.0,1.0,1.0
2023-07-14,CASH,0.0,1.0,1.0
2023-07-17,CASH,0.0,1.0,1.0
2023-07-18,CASH,0.0,1.0,1.0
2023-07-19,CASH,0.0,1.0,1.0
2023-07-20,CASH,0.0,1.0,1.0
2023-07-21,CASH,0.0,1.0,1.0
2023-07-24,CASH,0.0,1.0,1.0
2023-07-25,CASH,0.0,1.0,1.0
2023-07-26,CASH,0.0,1.0,1.0
2023-07-27,CASH,0.0,1.0,1.0
2023-07-28,CASH,0.0,1.0,1.0
2023-07-31,515210.SH,756089.8801383976,1.358,0.999999909973
2023-08-01,515210.SH,756089.8801383976,1.392,0.9999999121719351
2023-08-02,515210.SH,756089.8801383976,1.378,0.9999999112796327
2023-08-03,515210.SH,756089.8801383976,1.379,0.9999999113439695
2023-08-04,515210.SH,756089.8801383976,1.366,0.9999999105002445
2023-08-07,512000.SH,997143.6710599182,1.02,0.999999909973
2023-08-08,512000.SH,997143.6710599182,1.012,0.9999999092613242
2023-08-09,512000.SH,997143.6710599182,1.009,0.9999999089915362
2023-08-10,512000.SH,997143.6710599182,1.03,0.9999999108470485
2023-08-11,512000.SH,997143.6710599182,0.985,0.9999999067740714
2023-08-14,CASH,0.0,1.0,1.0
2023-08-15,CASH,0.0,1.0,1.0
2023-08-16,CASH,0.0,1.0,1.0
2023-08-17,CASH,0.0,1.0,1.0
2023-08-18,CASH,0.0,1.0,1.0
2023-08-21,CASH,0.0,1.0,1.0
2023-08-22,CASH,0.0,1.0,1.0
2023-08-23,CASH,0.0,1.0,1.0
2023-08-24,CASH,0.0,1.0,1.0
2023-08-25,CASH,0.0,1.0,1.0
2023-08-28,CASH,0.0,1.0,1.0
2023-08-29,CASH,0.0,1.0,1.0
2023-08-30,CASH,0.0,1.0,1.0
2023-08-31,CASH,0.0,1.0,1.0
2023-09-01,CASH,0.0,1.0,1.0
2023-09-04,CASH,0.0,1.0,1.0
2023-09-05,CASH,0.0,1.0,1.0
2023-09-06,CASH,0.0,1.0,1.0
2023-09-07,CASH,0.0,1.0,1.0
2023-09-08,CASH,0.0,1.0,1.0
2023-09-11,CASH,0.0,1.0,1.0
2023-09-12,CASH,0.0,1.0,1.0
2023-09-13,CASH,0.0,1.0,1.0
2023-09-14,CASH,0.0,1.0,1.0
2023-09-15,CASH,0.0,1.0,1.0
2023-09-18,CASH,0.0,1.0,1.0
2023-09-19,CASH,0.0,1.0,1.0
2023-09-20,CASH,0.0,1.0,1.0
2023-09-21,CASH,0.0,1.0,1.0
2023-09-22,CASH,0.0,1.0,1.0
2023-09-25,CASH,0.0,1.0,1.0
2023-09-26,CASH,0.0,1.0,1.0
2023-09-27,CASH,0.0,1.0,1.0
2023-09-28,CASH,0.0,1.0,1.0
2023-10-09,CASH,0.0,1.0,1.0
2023-10-10,CASH,0.0,1.0,1.0
2023-10-11,CASH,0.0,1.0,1.0
2023-10-12,CASH,0.0,1.0,1.0
2023-10-13,CASH,0.0,1.0,1.0
2023-10-16,CASH,0.0,1.0,1.0
2023-10-17,CASH,0.0,1.0,1.0
2023-10-18,CASH,0.0,1.0,1.0
2023-10-19,CASH,0.0,1.0,1.0
2023-10-20,CASH,0.0,1.0,1.0
2023-10-23,CASH,0.0,1.0,1.0
2023-10-24,CASH,0.0,1.0,1.0
2023-10-25,CASH,0.0,1.0,1.0
2023-10-26,CASH,0.0,1.0,1.0
2023-10-27,CASH,0.0,1.0,1.0
2023-10-30,CASH,0.0,1.0,1.0
2023-10-31,CASH,0.0,1.0,1.0
2023-11-01,CASH,0.0,1.0,1.0
2023-11-02,CASH,0.0,1.0,1.0
