ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000300.SH,20230918,3727.711,3698.9344,3737.5306,3691.1107,3708.7766,18.9344,0.5105,86727741.0,156966973.911
000300.SH,20230915,3708.7766,3740.7853,3749.0247,3699.3806,3733.5077,-24.7311,-0.6624,109395689.0,180398970.938
000300.SH,20230914,3733.5077,3736.9355,3748.8177,3717.3107,3736.6513,-3.1436,-0.0841,100386075.0,151578100.464
000300.SH,20230913,3736.6513,3759.6091,3768.8162,3719.1114,3760.6048,-23.9535,-0.637,81576901.0,138238089.913
000300.SH,20230912,3760.6048,3764.3331,3775.093,3755.4162,3767.537,-6.9322,-0.184,79385378.0,140117510.233
000300.SH,20230911,3767.537,3740.5846,3788.3219,3734.7228,3739.9927,27.5443,0.7365,105358016.0,186871759.441
000300.SH,20230908,3739.9927,3747.6509,3753.263,3724.987,3758.4748,-18.4821,-0.4917,71638166.0,129197657.303
000300.SH,20230907,3758.4748,3802.2272,3802.2272,3756.853,3812.0283,-53.5535,-1.4049,95103903.0,164405748.828
000300.SH,20230906,3812.0283,3808.1,3817.5239,3790.8949,3820.3174,-8.2891,-0.217,93442393.0,166081524.007
000300.SH,20230905,3820.3174,3839.5779,3839.5779,3814.3338,3848.9517,-28.6343,-0.744,104052333.0,181377877.955
000300.SH,20230904,3848.9517,3812.9873,3854.2605,3804.5886,3791.4912,57.4605,1.5155,142385201.0,237934727.924
000300.SH,20230901,3791.4912,3778.9129,3808.5306,3778.9129,3765.2678,26.2234,0.6965,105319045.0,172219141.586
000300.SH,20230831,3765.2678,3786.9261,3793.9972,3762.0046,3788.5097,-23.2419,-0.6135,118961646.0,193577001.342
000300.SH,20230830,3788.5097,3803.1191,3813.7032,3780.2411,3790.1067,-1.597,-0.0421,129671661.0,226727480.839
000300.SH,20230829,3790.1067,3743.0534,3810.3772,3742.0758,3752.6194,37.4873,0.999,152486146.0,262134936.751
000300.SH,20230828,3752.6194,3911.5485,3911.5485,3740.5279,3709.1517,43.4677,1.1719,197990379.0,335047670.967
000300.SH,20230825,3709.1517,3703.5136,3734.2185,3695.8442,3723.4293,-14.2776,-0.3835,105182610.0,175601437.173
000300.SH,20230824,3723.4293,3711.5403,3748.8567,3701.5717,3696.6339,26.7954,0.7249,119614521.0,196257391.084
000300.SH,20230823,3696.6339,3751.7736,3756.1659,3695.0309,3758.2271,-61.5932,-1.6389,97081638.0,160476231.587
000300.SH,20230822,3758.2271,3748.0675,3770.0556,3704.6785,3729.555,28.6721,0.7688,120318327.0,203463879.672
000300.SH,20230821,3729.555,3773.225,3782.1112,3729.555,3784.0038,-54.4488,-1.4389,98708369.0,173379942.907
000300.SH,20230818,3784.0038,3832.4554,3844.195,3784.0038,3831.1008,-47.097,-1.2293,95549638.0,168445686.988
000300.SH,20230817,3831.1008,3801.1969,3836.1507,3782.4967,3818.3338,12.767,0.3344,98415493.0,174093848.243
000300.SH,20230816,3818.3338,3830.8274,3852.4198,3817.6324,3846.5357,-28.2019,-0.7332,94616946.0,169323869.028
000300.SH,20230815,3846.5357,3858.3662,3865.284,3811.6839,3855.9061,-9.3704,-0.243,103097111.0,177437071.693
000300.SH,20230814,3855.9061,3840.8872,3859.4718,3814.0711,3884.2538,-28.3477,-0.7298,115966336.0,197623765.246
000300.SH,20230811,3884.2538,3977.9834,3977.9834,3884.2538,3975.7166,-91.4628,-2.3005,126082931.0,203546314.647
000300.SH,20230810,3975.7166,3962.8569,3976.4637,3945.3869,3967.5652,8.1514,0.2055,97176849.0,175646730.198
000300.SH,20230809,3967.5652,3967.3566,3982.1091,3961.8434,3979.7322,-12.167,-0.3057,94640269.0,174394242.765
000300.SH,20230808,3979.7322,3980.0423,4002.2904,3963.4632,3990.1531,-10.4209,-0.2612,109871699.0,202611335.314
000300.SH,20230807,3990.1531,4002.9677,4002.9677,3977.0173,4020.5792,-30.4261,-0.7568,121310662.0,227090572.751
000300.SH,20230804,4020.5792,4033.7239,4058.2431,4011.6202,4004.9839,15.5953,0.3894,178267189.0,316529733.838
000300.SH,20230803,4004.9839,3962.1296,4004.9996,3962.1296,3969.895,35.0889,0.8839,129006640.0,224809824.82
000300.SH,20230802,3969.895,3985.6951,4008.3343,3958.5127,3998.001,-28.106,-0.703,125855690.0,204875690.924
000300.SH,20230801,3998.001,4009.1831,4031.7008,3983.0273,4014.6301,-16.6291,-0.4142,142286859.0,255620773.6
000300.SH,20230731,4014.6301,4018.8895,4064.3621,4002.0784,3992.7376,21.8925,0.5483,199606830.0,366544120.0
