trade_date,etf_code,theme,style,dividend_yield_abs,weighted_pb,weighted_pe_ttm,constituent_count,source
2022-07-29,561560.SH,电力,stable_value,0.020376911918699916,2.426014532644399,27.297723917190048,116,constituent_weighted
2022-08-26,512000.SH,证券,cyclical_value,0.021581495337208823,1.8495840714736984,16.679202524843713,48,constituent_weighted
2022-08-26,512800.SH,银行,stable_value,0.05937157153644849,0.6273485010867524,4.581608608656047,42,constituent_weighted
2022-08-26,512200.SH,地产,cyclical_value,0.02570850155174577,1.334784942161378,11.595422264281638,115,constituent_weighted
2022-08-26,159928.SZ,消费,stable_value,0.013185163680919817,10.657591712209555,37.17351897430785,117,constituent_weighted
2022-08-26,512010.SH,医药,growth,0.01088149589235015,6.096582803059087,24.642000840830665,352,constituent_weighted
2022-08-26,512480.SH,半导体,growth,0.003696332800182079,7.809671183548901,38.77040042046904,46,constituent_weighted
2022-08-26,159995.SZ,芯片,growth,0.003275987913249249,7.343622803874638,41.26243769679683,111,constituent_weighted
2022-08-26,159819.SZ,人工智能,growth,0.008713236409653206,4.881147657766906,39.86145344824895,261,constituent_weighted
2022-08-26,512660.SH,军工,growth,0.00446311663646398,4.960007301397611,57.189143051988886,99,constituent_weighted
2022-08-26,515030.SH,新能源车,growth,0.053674719919525306,2.2797570573886845,9.420428821772699,38,constituent_weighted
2022-08-26,515790.SH,光伏,growth,0.0046885201461818815,7.20678300994969,39.220248766418415,256,constituent_weighted
2022-08-26,512400.SH,有色,cyclical_value,0.008924492885182177,4.713300593804268,19.632071182216645,128,constituent_weighted
2022-08-26,515220.SH,煤炭,cyclical_value,0.0542358430469891,2.2406803419936563,9.30142519779053,36,constituent_weighted
2022-08-26,515210.SH,钢铁,cyclical_value,0.05814077992575499,1.9223733749466902,9.060311200845485,44,constituent_weighted
2022-08-26,561560.SH,电力,stable_value,0.01864934515053246,2.4640082719618155,28.493304041576565,120,constituent_weighted
2022-09-23,512000.SH,证券,cyclical_value,0.023047665780862172,1.6040861400723267,16.022360810931914,48,constituent_weighted
2022-09-23,512800.SH,银行,stable_value,0.05853603965914707,0.6333981025059595,4.612606006211712,42,constituent_weighted
2022-09-23,512200.SH,地产,cyclical_value,0.025203972226712067,1.342101472067559,12.99455641337257,115,constituent_weighted
2022-09-23,159928.SZ,消费,stable_value,0.014003524172580438,10.210320675243675,35.232804150181494,118,constituent_weighted
2022-09-23,512010.SH,医药,growth,0.012164854873026005,5.315721495381967,22.265044980714244,351,constituent_weighted
2022-09-23,512480.SH,半导体,growth,0.0039892764353078435,7.16116456461841,34.233799196326956,46,constituent_weighted
2022-09-23,159995.SZ,芯片,growth,0.0035004532756820533,6.808861009600652,37.79679510550506,114,constituent_weighted
2022-09-23,159819.SZ,人工智能,growth,0.009278741047119935,4.619856410273734,37.99828863345713,265,constituent_weighted
2022-09-23,512660.SH,军工,growth,0.004369995914950994,5.203964561640211,57.320268937137335,99,constituent_weighted
2022-09-23,515030.SH,新能源车,growth,0.05412204363870517,2.0381205397961617,7.9817846833300505,38,constituent_weighted
2022-09-23,515790.SH,光伏,growth,0.005427329571741403,6.253044508957654,33.24722670290134,260,constituent_weighted
2022-09-23,512400.SH,有色,cyclical_value,0.009821903414031361,4.292763905282433,17.24355625062012,128,constituent_weighted
2022-09-23,515220.SH,煤炭,cyclical_value,0.054672131640982495,2.0004346820060888,7.881985225712741,36,constituent_weighted
2022-09-23,515210.SH,钢铁,cyclical_value,0.05953153263019494,1.6502430947699191,10.852596787745872,44,constituent_weighted
2022-09-23,561560.SH,电力,stable_value,0.01954142836935832,2.252864379425498,25.22315548854675,122,constituent_weighted
2022-10-28,512000.SH,证券,cyclical_value,0.024367904745084264,1.457748664709475,15.375127122260203,48,constituent_weighted
2022-10-28,512800.SH,银行,stable_value,0.06324044762939508,0.5553056047210572,4.244466243872975,42,constituent_weighted
2022-10-28,512200.SH,地产,cyclical_value,0.02917218135560046,1.1931272868782299,11.469964258437066,115,constituent_weighted
2022-10-28,159928.SZ,消费,stable_value,0.017913020062512237,7.275060812476185,27.474422309889338,119,constituent_weighted
2022-10-28,512010.SH,医药,growth,0.011014124268330873,5.474336492213254,24.33900857655162,354,constituent_weighted
2022-10-28,512480.SH,半导体,growth,0.004082458220240103,7.038058100997585,34.63503282930863,47,constituent_weighted
2022-10-28,159995.SZ,芯片,growth,0.003664178442970092,6.75648717031882,38.24358012975274,118,constituent_weighted
2022-10-28,159819.SZ,人工智能,growth,0.008639526319262365,4.932752128949804,41.20662316338097,265,constituent_weighted
